code,shortName,longName,comment
dk,dk,Dänemark,
01062048,01062048,Mönkhagen,Stadt / Gemeinde
01062050,01062050,Neritz,Stadt / Gemeinde
01062051,01062051,Nienwohld,Stadt / Gemeinde
01062053,01062053,Oststeinbek,Stadt / Gemeinde
01062056,01062056,Pölitz,Stadt / Gemeinde
01062058,01062058,Rausdorf,Stadt / Gemeinde
01062059,01062059,Rehhorst,Stadt / Gemeinde
01062060,01062060,"Reinbek, Stadt",Stadt / Gemeinde
01062061,01062061,"Reinfeld (Holstein), Stadt",Stadt / Gemeinde
01062062,01062062,Rethwisch (Kr. Stormarn),Stadt / Gemeinde
01062065,01062065,Rümpel,Stadt / Gemeinde
01062069,01062069,Siek,Stadt / Gemeinde
01062071,01062071,Stapelfeld,Stadt / Gemeinde
01062076,01062076,Tangstedt (Kr. Stormarn),Stadt / Gemeinde
01062078,01062078,Todendorf,Stadt / Gemeinde
01062081,01062081,Tremsbüttel,Stadt / Gemeinde
01062082,01062082,Trittau,Stadt / Gemeinde
01062083,01062083,Westerau,Stadt / Gemeinde
01062086,01062086,Witzhave,Stadt / Gemeinde
01062087,01062087,Zarpen,Stadt / Gemeinde
01062088,01062088,Brunsbek,Stadt / Gemeinde
01062089,01062089,Lasbek,Stadt / Gemeinde
01062090,01062090,Ammersbek,Stadt / Gemeinde
01062091,01062091,Steinburg,Stadt / Gemeinde
01062092,01062092,Travenbrück,Stadt / Gemeinde
01062093,01062093,Feldhorst,Stadt / Gemeinde
01062094,01062094,Wesenberg,Stadt / Gemeinde
