code,shortName,longName,mass,comment
03EGI,03EGI,Elektronikerin/Elektroniker für Gebäude und Infrastruktursysteme,205,"3,5j."
03EG1,03EG1,Elektronikerin/Elektroniker für Gebäudesystemintegration ,205,"3,5j."
03EGS,03EGS,Elektronikerin/Elektroniker für Geräte und Systeme,205,"3,5j."
03EIS,03EIS,Elektronikerin/Elektroniker für Informations- und Systemtechnik,205,"3,5j."
03EM1,03EM1,Elektronikerin/Elektroniker für Maschinen und Antriebstechnik,205,"3,5j."
03FA3,03FA3,Fachinformatikerin/Fachinformatiker Fachrichtung Anwendungsentwicklung,205,3j.
03FA4,03FA4,Fachinformatikerin/Fachinformatiker Fachrichtung Systemintegration,205,3j.
03FA5,03FA5,Fachinformatikerin/Fachinformatiker Fachrichtung Daten- und Prozessanalyse,205,3j.
03FA6,03FA6,Fachinformatikerin/Fachinformatiker Fachrichtung Digitale Vernetzung,205,3j.
03FVT,03FVT,Fachkraft für Veranstaltungstechnik,205,3j.
03HÖA,03HÖA,Hörakustikerin/Hörakustiker,205,3j.
03IE1,03IE1,Industrieelektriker/Industrieelektrikerin Fachrichtung Betriebstechnik,205,2j.
03IE2,03IE2,Industrieelektriker/Industrieelektrikerin Fachrichtung Geräte und Systeme,205,2j.
03INE,03INE,Informationselektronikerin/Informationselektroniker,205,"3,5j. (ab 2021)"
03ITE,03ITE,IT-System-Elektronikerin/IT-System-Elektroniker,205,3j.
03MET,03MET,Mechatronikerin/Mechatroniker,205,"3,5j."
03MI1,03MI1,Mikrotechnologin/Mikrotechnologe Schwerpunkt Halbleitertechnik,205,3j.
03MI2,03MI2,Mikrotechnologin/Mikrotechnologe Schwerpunkt Mikrosystemtechnik,205,3j.
03SYE,03SYE,Systemelektronikerin/Systemelektroniker,205,"3,5j."
04AU4,04AU4,Ausbaufacharbeiterin/Ausbaufacharbeiter Schwerpunkt Estricharbeiten,207,2j.
04AU3,04AU3,"Ausbaufacharbeiterin/Ausbaufacharbeiter Schwerpunkt Fliesen-, Platten- und Mosaikarbeiten",207,2j.
04AU2,04AU2,Ausbaufacharbeiterin/Ausbaufacharbeiter Schwerpunkt Stuckateurarbeiten,207,2j.
04AU6,04AU6,Ausbaufacharbeiterin/Ausbaufacharbeiter Schwerpunkt Trockenbauarbeiten,207,2j.
04AU5,04AU5,"Ausbaufacharbeiterin/Ausbaufacharbeiter Schwerpunkt Wärme-, Kälte- und Schallschutzarbeiten",207,2j.
04AU1,04AU1,Ausbaufacharbeiterin/Ausbaufacharbeiter Schwerpunkt Zimmerarbeiten,207,2j.
04BP1,04BP1,Baustoffprüferin/Baustoffprüfer Schwerpunkt Asphalttechnik,207,3j.
04BP2,04BP2,Baustoffprüferin/Baustoffprüfer Schwerpunkt Geotechnik,207,3j.
